variable,mean,sd
SEGM_RT_TRN3_RND4,0.16932988309352517,0.14753251380786928
SEGM_RT_RND4_REC5,0.13672777372627737,0.15892466317155432
SEGM_2AFC_trigram,0.5799603174892857,0.14683437253116044
SEGM_2AFC_bigram,0.5543650793964285,0.1327859228589652
SEGM_production,0.6711309523821428,0.20303577813033505
AGL_2AFC_sentence,0.6754261363636364,0.15820533788107463
AGL_2AFC_phrase,0.5556129476174242,0.11969879106014478
AGL_production,0.4870088719771863,0.13539362841279934
perceptual_speed_visual_RT,-0.30652164700362977,0.049566216019783914
perceptual_speed_auditory_RT,-0.3003644500036364,0.05058130810435565
perceptual_speed_visual_decision,-0.9753293066037736,0.24103964811250933
digit_span_forward,6.569169960474309,1.787790855036815
digit_span_backward,5.432806324110672,1.9570716733662565
nback_2_back_dprime,0.8696344469017094,1.594584393801089
nback_3_back_dprime,-0.4487096543624454,2.295138325173033
simon_RT,-0.05967417058823529,0.05370145426317313
grammatical_sensitivity,0.7577550653053613,0.18270232344552953
selfpaced_violation_processing_target,-0.23951141379302326,0.3119538115688303
selfpaced_gardenpath_target,-0.09992167090465116,0.26868198771883745
predictive_sent_proc_RT,0.5689704429154334,0.31890749282859937
one_minute_reading,299.8567901234568,89.50996534247895
pragmatic_comprehension,0.7612773028867521,0.1492775627356507
