ID,dichotic_nonforced_lat_index,digit_span_forward_span,digit_span_backward_span,MENYET_mean_ACC_all,n_back_nback_1_dprime,n_back_nback_2_dprime,n_back_nback_3_dprime,OMR_read_syls,predictive_RT_score,PROC_SPEED_vis_RT_med,PROC_SPEED_ac_RT_med,PROC_SPEED_vis_dec_RT_med,PROC_SPEED_ac_dec_RT_med,rec_vocab_ACC,SAT_ACC,SEGM_AL_medRT_train,SEGM_AL_medRT_TRN3_RND4,SEGM_AL_medRT_RND4_REC5,SEGM_AL_ACC_train,SEGM_AL_ACC_TRN3_RND4,SEGM_AL_ACC_RND4_REC5,SEGM_AL_2AFC_all,SEGM_AL_SEGM_prod_data,SEGM_VN_medRT_train,SEGM_VN_medRT_TRN3_RND4,SEGM_VN_medRT_RND4_REC5,SEGM_VN_ACC_train,SEGM_VN_ACC_TRN3_RND4,SEGM_VN_ACC_RND4_REC5,SEGM_VN_2AFC_all,SEGM_VN_SEGM_prod_data,AGL_2AFC_phr,AGL_2AFC_sent,AGL_prod,selfpaced_target_RT_diff_sertes,simon_RT_score,stroop_RT_score,stroop_ACC_score,trog_pragm_ACC_mean
1209,18.51851851851852,3.0,6.0,0.8461538461538461,8.529781588,1.516110984,1.366021746,370.0,0.7207070000035132,0.2857349999999999,0.270705,1.1335925,,,,0.0525499999968133,0.2091299999979945,0.0444174999983513,0.125,0.0625,0.1875,0.5833333333333334,0.6666666666666666,,,,,,,,,,,,0.132016875,-0.0081575,0.1670349999999999,0.0,0.8333333333333334
2202,25.0,,,0.6923076923076923,1.805952078,0.253347103,-0.253347103,312.0,0.9519735000053504,0.3500425,0.338575,1.04786,,,,,,,,,,,,,,,,,,,,,,,0.2985975,0.014305,0.2406624999999999,0.1333333333333333,0.9444444444444444
2205,-11.11111111111111,6.0,5.0,1.0,-0.524400513,-0.251322694,-0.524400513,178.0,0.1491835000043677,0.296405,0.3088325,1.2677,,,,,,,,,,,,,,,,,,,,,,,0.053335,0.0175425,0.40439,0.0499999999999999,0.8333333333333334
2307,48.14814814814815,9.0,8.0,0.7692307692307693,5.546442359,1.2269417,2.563103131,263.0,0.9548905,0.272,0.2655,0.734,,,,,,,,,,,,,,,,,,,,,,,0.243125,0.0994999999999999,0.1169999999999999,0.0333333333333333,0.9444444444444444
2321,84.61538461538461,7.0,7.0,0.9230769230769232,5.546442359,2.123172799,0.0,233.0,0.7660879999491867,0.3034625,0.3377799999999999,1.098185,,,,,,,,,,,,,,,,,,,,,,,0.1130906249999999,0.0134675,0.3125150000000001,0.0166666666666667,0.7777777777777778
2344,20.0,7.0,8.0,,5.106512027,0.317220721,0.317220721,347.0,0.3884454998402225,0.30352,0.3351874999999999,1.0904575,,,,,,,,,,,,,,,,,,,,,,,0.055105,0.090555,0.2622124999999999,0.0,0.9444444444444444
2357,15.384615384615383,7.0,4.0,0.5384615384615384,5.106512027,1.059810217,-1.366021746,347.0,0.7847144999991365,0.3776075,0.3155449999999999,0.91996,,,,,,,,,,,,,,,,,,,,,,,-0.0461612499999999,0.0270000000000001,0.4334450000000001,0.0833333333333333,0.7222222222222222
2367,-8.333333333333332,7.0,7.0,1.0,8.529781588,0.96728258,-0.841621234,233.0,0.7547980000406616,0.3389525,0.2691375,0.832495,,,,,,,,,,,,,,,,,,,,,,,0.240920625,0.0065049999999999,0.1789225000000001,0.0,0.6111111111111112
3203,35.714285714285715,8.0,8.0,0.7692307692307693,1.805952078,1.198890263,0.0,389.0,0.8226750000006726,0.3191125,0.303515,0.71141,,,,,,,,,,,,,,,,,,,,0.4545454545454545,0.8125,0.625,-0.0086392857142856,0.011755,0.3892799999999998,0.1333333333333333,0.8333333333333334
4532,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5022,-52.0,7.0,4.0,0.8461538461538461,5.546442359,4.264890794,2.983339228,322.0,0.6467219995103481,0.255005,0.2433025,0.8834525,,,0.8333333333333334,0.1199299999978382,0.2131250000093114,0.2068275000434347,0.0625,0.1875,0.1875,0.7777777777777778,0.8333333333333334,,,,,,,,,0.5,0.75,0.375,0.107104375,0.0376775,0.14711,0.0166666666666667,0.8333333333333334
5082,-15.789473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
