ID,dichotic_nonforced_lat_index,digit_span_forward_span,digit_span_backward_span,MENYET_mean_ACC_all,n_back_nback_1_dprime,n_back_nback_2_dprime,n_back_nback_3_dprime,OMR_read_syls,predictive_RT_score,PROC_SPEED_vis_RT_med,PROC_SPEED_ac_RT_med,PROC_SPEED_vis_dec_RT_med,PROC_SPEED_ac_dec_RT_med,rec_vocab_ACC,SAT_ACC,SEGM_AL_medRT_train,SEGM_AL_medRT_TRN3_RND4,SEGM_AL_medRT_RND4_REC5,SEGM_AL_ACC_train,SEGM_AL_ACC_TRN3_RND4,SEGM_AL_ACC_RND4_REC5,SEGM_AL_2AFC_all,SEGM_AL_SEGM_prod_data,SEGM_VN_medRT_train,SEGM_VN_medRT_TRN3_RND4,SEGM_VN_medRT_RND4_REC5,SEGM_VN_ACC_train,SEGM_VN_ACC_TRN3_RND4,SEGM_VN_ACC_RND4_REC5,SEGM_VN_2AFC_all,SEGM_VN_SEGM_prod_data,AGL_2AFC_phr,AGL_2AFC_sent,AGL_prod,selfpaced_target_RT_diff_sertes,simon_RT_score,stroop_RT_score,stroop_ACC_score,trog_pragm_ACC_mean
GYSB18,,,,,,,,,,,,,,0.6774193548387096,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB19,,,,,,,,,,,,,,0.8387096774193549,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB2,,,,,,,,,,,,,,0.6774193548387096,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB20,,,,,,,,,,,,,,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB21,,,,,,,,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB23,,,,,,,,,,,,,,0.7741935483870968,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB24,,,,,,,,,,,,,,0.3870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB25,,,,,,,,,,,,,,0.5483870967741935,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB26,,,,,,,,,,,,,,0.6451612903225806,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB28,,,,,,,,,,,,,,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB3,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB4,,,,,,,,,,,,,,0.8387096774193549,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB5,,,,,,,,,,,,,,0.7419354838709677,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB7,,,,,,,,,,,,,,0.3870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,
GYSB8,,,,,,,,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS1,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS16,,,,,,,,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS17,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS18,,,,,,,,,,,,,,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS19,,,,,,,,,,,,,,0.2903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS2,,,,,,,,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS20,,,,,,,,,,,,,,0.8064516129032258,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS22,,,,,,,,,,,,,,0.6774193548387096,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS23,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS24,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS25,,,,,,,,,,,,,,0.6129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS26,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS3,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS4,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS5,,,,,,,,,,,,,,0.6774193548387096,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS6,,,,,,,,,,,,,,0.5806451612903226,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS7,,,,,,,,,,,,,,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS8,,,,,,,,,,,,,,0.8709677419354839,,,,,,,,,,,,,,,,,,,,,,,,,
GYSS9,,,,,,,,,,,,,,0.8387096774193549,,,,,,,,,,,,,,,,,,,,,,,,,
61025,,,,,,,,,,,,,,,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
6106,,,,,,,,,,,,,,,,,,,0.875,0.375,0.4375,,,,,,,,,,,,,,,,,,
6121,,,,,,,,,,,,,,,,,,,0.125,0.0625,0.125,,,0.101245,0.445975,0.470265,-0.066666667,-0.066666667,0.0,0.666666667,0.916666667,,,,,,,,
6229,,,,,,,,,,,,,,,,,,,-0.0625,-0.125,0.0,,,,,,,,,,,,,,,,,,
6234,,,,,,,,,,,,,,,,,,,,,,,,0.059475,-0.037835,-0.06454,0.933333333,0.0,-0.066666667,0.5,0.833333333,,,,,,,,
6244,,,,,,,,,,,,,,,,,,,,,,,,0.0551025,0.01255,-0.05013,0.2,0.066666667,-0.066666667,0.555555556,0.583333333,,,,,,,,
6108,,,,,,,,,,,,,,,,,,,,,,,,0.28855,0.293275,0.253765,0.2,0.133333333,0.133333333,0.583333333,0.916666667,,,,,,,,
