ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
7132,left,right,,left,left,right,right,,left,left,left,left,left,left,left,right,,right,left,left,right,,,left,left,right,right,right,right,right
7135,left,left,,left,left,left,left,left,left,left,left,left,left,left,,,,right,,,right,,,left,left,,right,,left,left
7138,right,left,left,left,,right,right,,,left,left,left,left,left,left,,,right,right,,right,,right,left,right,right,right,right,right,right
7141,right,right,,left,,right,right,,left,right,right,right,right,right,right,,right,right,right,right,right,right,right,,right,,right,right,right,right
7144,right,right,,left,right,right,right,,right,left,left,,right,left,left,right,,right,right,right,right,,,left,left,right,right,right,right,right
7150,left,right,left,left,left,right,right,,left,right,left,left,left,,left,left,right,right,left,right,right,right,right,left,left,,right,right,right,left
7153,right,right,,left,right,right,right,,left,left,left,left,left,left,,right,right,right,right,right,right,right,right,right,right,right,right,right,left,right
7156,left,right,left,right,left,right,right,right,right,right,right,left,left,right,left,left,,right,right,left,left,,right,left,left,right,right,right,right,right
7159,right,right,left,left,,left,right,left,,left,left,right,left,right,right,right,right,right,right,,right,right,,left,right,right,right,right,left,right
7162,left,left,,right,,left,left,,,right,right,left,right,,,,,left,left,left,left,left,left,right,left,right,left,,,right
7168,right,right,right,left,right,right,right,right,,left,left,left,left,left,right,,left,right,right,left,right,right,right,right,left,right,right,right,right,right
7171,left,right,right,right,,right,right,right,,right,right,left,left,left,left,,,right,right,left,right,left,right,right,left,,left,right,right,right
7174,right,right,,left,left,right,left,,,left,left,left,left,,left,right,,right,right,right,right,right,right,left,left,,right,right,left,right
7177,left,left,,left,left,right,left,,left,left,right,right,left,,left,,,right,,left,right,right,,,right,right,right,,right,left
7180,right,left,,left,left,left,left,,left,left,right,right,left,,,right,right,right,right,right,right,right,,left,right,,right,,right,left
7183,right,right,left,left,left,right,right,,,left,left,left,left,,left,right,,right,right,right,right,right,right,,right,,right,right,left,left
7186,right,right,,left,,left,right,,,left,left,left,left,left,left,,,right,right,left,right,,right,left,left,,left,right,right,right
7189,right,right,,right,right,left,right,,,right,right,right,right,right,right,right,right,left,right,right,left,,left,left,right,,left,left,left,left
7192,right,right,left,left,left,left,right,left,left,left,left,left,left,left,left,right,left,right,right,left,left,right,left,left,left,left,left,left,left,left
7195,left,right,left,left,left,left,left,,left,left,right,left,left,left,left,,right,right,right,right,right,right,right,left,right,left,right,,right,left
7198,right,right,left,left,left,right,right,,,left,right,left,left,,,right,right,right,right,,right,,right,left,left,right,right,right,,right
7201,right,right,,left,left,right,right,,,left,left,left,left,left,left,right,,right,right,right,right,,right,left,right,right,right,right,left,left
7204,right,right,,left,,right,right,,left,left,left,left,left,left,,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
7207,right,right,,left,left,left,right,,,left,right,left,left,left,left,,right,right,right,right,right,right,right,left,right,,right,right,left,right
7210,left,left,left,left,left,right,left,,,left,right,right,left,,,right,,right,left,left,right,,,right,left,right,right,,left,right
7213,right,right,left,left,left,left,right,left,left,left,left,right,left,left,left,right,right,right,left,left,right,,right,left,left,,right,right,right,left
7216,right,right,right,left,left,right,right,,,left,left,left,left,,,right,,right,right,left,right,right,right,right,right,,left,right,right,right
7219,right,right,,left,left,right,right,,,left,left,left,left,left,left,,,right,right,right,right,,right,left,left,right,right,right,right,right
7222,left,right,left,left,left,right,right,,left,left,right,left,left,left,left,right,right,right,right,right,right,,right,right,right,right,right,right,left,left
7225,left,left,,right,left,left,left,,,right,right,right,right,,right,left,,left,left,left,left,left,left,right,left,left,left,left,left,left
7228,right,right,left,left,left,right,left,left,left,left,left,right,left,left,,right,right,right,right,right,right,right,right,left,left,right,right,right,left,right
7231,,right,,left,,right,right,right,,left,left,left,left,left,left,,,right,right,left,right,,right,right,left,right,right,right,right,right
7234,right,right,left,left,left,right,right,,,left,right,left,left,left,left,right,,right,right,right,right,right,right,left,right,right,right,right,right,right
7237,left,left,left,left,left,right,left,left,left,left,right,right,left,,left,right,right,right,right,right,right,right,right,left,left,right,right,right,left,right
7243,left,right,right,left,,right,right,right,,left,left,left,left,left,left,right,,right,right,,right,,right,left,left,,right,right,right,right
7246,right,right,right,right,right,right,right,right,right,right,right,right,left,,,right,right,right,right,right,right,right,right,right,left,right,right,right,left,right
7252,right,right,right,right,,right,right,right,right,right,right,left,right,right,,,,right,right,right,right,left,left,left,left,right,left,right,left,right
7255,right,right,right,right,right,left,right,right,,right,left,left,left,,left,,,right,right,left,right,right,right,right,right,right,right,right,right,right
7258,left,right,left,left,left,left,right,,,left,left,left,left,left,right,right,,right,right,left,right,right,,left,left,left,right,right,left,left
7261,right,right,right,left,right,left,right,,,left,left,left,left,left,left,right,,right,right,right,left,right,right,right,left,left,right,right,left,left
BL104,left,left,right,right,,right,left,,right,right,right,right,right,right,right,,,left,right,right,left,left,left,right,left,left,left,left,left,right
BL105,right,right,left,left,,left,right,left,left,left,right,right,left,,,right,right,right,right,right,right,right,right,left,right,,right,right,left,left
BL110,right,right,,left,,left,right,,left,left,left,right,left,,,right,right,right,right,right,right,right,right,right,right,,right,right,left,left
BL117,left,left,left,left,left,right,right,right,,left,right,left,left,,left,right,,right,right,right,right,,right,left,right,left,right,right,left,right
BL123,right,right,,left,,left,right,,left,left,left,left,left,left,,,,right,right,left,right,right,right,left,right,,right,right,right,left
BL126,,left,left,left,left,right,right,,,left,right,left,left,,left,right,,right,left,left,right,,right,right,left,right,right,right,right,right
BL127,right,right,,left,,right,right,,,right,left,left,right,,left,right,right,right,,right,right,right,right,,right,right,right,right,left,left
BL129,right,left,right,right,right,right,left,,right,right,right,right,right,right,right,,,left,right,left,left,,left,right,left,,left,,right,right
BL130,left,left,right,right,right,left,left,,,right,right,right,right,right,right,,,left,left,left,left,left,left,right,left,left,left,left,right,left
BL131,right,left,,left,,left,right,,left,left,left,left,left,left,left,,,right,right,right,right,right,,left,right,,right,right,left,left
BL132,right,left,right,right,left,right,right,right,right,right,right,right,left,right,right,right,right,right,right,left,right,right,right,right,left,right,left,right,right,right
BL133,right,right,,left,,right,right,,left,left,left,left,left,left,left,,,right,left,left,right,right,right,right,right,,right,right,left,left
BL134,right,right,left,left,left,right,right,,right,right,right,left,left,,left,right,right,right,right,left,right,right,right,left,left,,right,right,right,left
