ID,ba_da.wav,ba_ga.wav,ba_ka.wav,ba_pa.wav,ba_ta.wav,da_ba.wav,da_ga.wav,da_ka.wav,da_pa.wav,da_ta.wav,ga_ba.wav,ga_da.wav,ga_ka.wav,ga_pa.wav,ga_ta.wav,ka_ba.wav,ka_da.wav,ka_ga.wav,ka_pa.wav,ka_ta.wav,pa_ba.wav,pa_da.wav,pa_ga.wav,pa_ka.wav,pa_ta.wav,ta_ba.wav,ta_da.wav,ta_ga.wav,ta_ka.wav,ta_pa.wav
KOR105,right,right,,left,left,right,right,,,left,left,left,left,left,left,right,,right,right,right,right,,right,left,left,right,right,right,left,right
KOR106,left,right,left,left,,left,left,left,left,left,left,left,left,left,,right,right,right,right,right,right,right,right,left,left,left,right,,left,left
KOR107,right,right,,left,,right,right,,,left,right,right,left,left,left,right,,right,right,left,right,,right,left,left,right,right,right,left,right
KOR108_1,left,left,left,left,right,right,left,left,left,left,right,right,left,left,,right,right,right,right,right,right,right,,left,left,,right,,left,left
KOR108_2,left,right,left,left,left,right,right,,,left,left,right,left,left,left,,right,right,right,right,right,left,,left,left,,right,right,left,left
KOR109_1,left,right,left,left,right,right,right,,,left,left,left,left,left,left,,,right,right,right,right,,right,left,right,,right,right,,right
KOR109_2,right,right,left,left,,right,right,,left,left,left,left,left,,,right,,right,right,right,right,right,right,right,right,right,right,right,left,right
KOR110,left,right,,left,left,right,right,,,left,right,left,left,left,left,right,right,right,right,right,right,right,,right,right,right,right,,left,right
KOR111,right,right,left,left,right,right,right,left,,right,right,right,left,,,right,right,right,right,right,right,right,right,left,right,right,right,right,left,right
KOR112,right,right,,left,right,right,right,,,left,left,left,left,left,left,right,,right,right,left,right,right,right,right,right,,right,right,right,left
KOR113,right,right,,left,right,left,right,,,left,right,left,left,left,left,right,right,right,right,left,right,right,right,left,right,,right,right,right,right
KOR114,left,left,left,left,left,right,left,,,left,right,right,,,right,right,right,,right,right,right,,,left,right,left,right,,left,left
KOR115,right,right,left,left,,right,right,left,right,left,,right,left,,,right,right,right,right,right,right,right,,left,right,right,right,right,,left
KOR116,left,left,left,left,left,left,left,left,left,left,right,right,left,,,right,,right,,left,right,right,,,left,right,right,,left,left
KOR118,right,right,,left,right,left,right,right,left,left,left,left,left,left,left,,,right,right,left,right,,right,right,left,,right,right,right,right
KOR119,right,left,left,left,left,right,left,,,left,right,right,left,,,right,right,right,,right,right,,,left,right,right,right,right,left,right
KOR120,right,right,,left,left,right,right,,left,left,left,left,left,left,left,,,right,right,left,right,right,right,left,left,right,right,right,right,left
KOR121,right,right,,left,,left,right,,,left,left,left,left,left,left,,,right,right,right,right,right,right,left,left,,right,right,,right
KOR1218,left,right,,left,,right,right,,,left,right,left,left,,,right,,right,right,left,right,right,,left,left,right,right,right,right,left
KOR123,right,right,,left,right,right,right,,,left,left,left,left,left,left,right,,right,right,left,right,,right,right,left,right,right,right,right,right
KOR124,left,right,right,left,,right,right,,,left,left,left,left,,,left,,right,right,right,right,,right,left,left,right,right,right,right,right
KOR125,right,right,left,left,,right,right,,,left,right,right,left,,,right,right,right,right,right,right,right,right,left,right,right,right,right,right,
KOR126,right,right,right,right,right,right,right,right,right,right,left,right,right,,,left,left,left,left,left,left,,,right,right,right,left,,right,right
KOR127,right,right,,left,left,,right,,left,left,left,left,left,left,left,right,left,right,right,left,right,left,right,right,left,left,right,right,right,left
KOR202,left,right,,left,right,right,right,,,left,left,left,left,left,left,,,right,right,left,right,,right,left,left,left,right,right,right,right
KOR203,right,right,,,,right,right,,left,,left,right,,left,right,,left,right,right,left,right,,right,left,,,,,left,
LA101,left,left,left,left,left,right,left,,left,left,right,left,left,,,right,,right,right,,right,,,left,left,right,right,,,right
LA102,left,right,,left,left,left,right,,left,left,left,left,left,left,left,,,right,right,left,right,right,right,left,left,right,right,right,right,right
LA103,right,left,left,left,,left,left,left,left,left,right,right,left,,,right,right,right,,right,right,right,,,right,,right,,left,left
TB101,right,right,left,right,,right,right,right,left,right,left,left,left,left,left,right,right,right,right,left,right,left,right,right,left,right,left,left,right,left
TB102,left,left,,,left,right,right,,,left,left,left,left,left,left,right,,right,,,right,,,left,left,right,right,,right,
TB103,left,left,,left,left,left,left,,left,left,right,right,left,,,,,right,left,left,right,right,,right,left,,right,,left,left
TB105,right,right,left,left,,right,right,,left,left,left,left,left,left,,right,right,right,right,right,right,right,right,left,right,right,right,right,left,right
TB107,right,right,left,left,,left,right,left,left,left,left,left,left,,left,,,right,right,right,right,right,right,right,right,right,right,right,right,right
TB108,right,right,right,left,,left,left,,left,right,left,left,left,left,left,,left,right,left,left,right,right,right,right,left,left,left,left,left,left
