ID;sex;age_years;right_handedness;years_in_education;highest_education_level;current_education_level;digit_span_forward;digit_span_backward;grammatical_sensitivity;nback_1_back_dprime;nback_2_back_dprime;nback_3_back_dprime;one_minute_reading;predictive_sent_proc_RT;predictive_sent_proc_accuracy;processing_speed_visual_RT;processing_speed_auditory_RT;processing_speed_visual_decision;SEGM_RT_training;SEGM_RT_TRN3_RND4;SEGM_RT_RND4_REC5;SEGM_ACC_training;SEGM_ACC_TRN3_RND4;SEGM_ACC_RND4_REC5;SEGM_2AFC_bigram;SEGM_2AFC_trigram;SEGM_production;AGL_ACC_training;AGL_2AFC_phrase;AGL_2AFC_sentence;AGL_production;selfpaced_gardenpath_target;selfpaced_violation_processing_target;simon_RT;simon_accuracy;stroop_RT;stroop_accuracy;pragmatic_comprehension
1375;female;20.69722222;1;14;secondary;BA_BSc;0.345144296;-0.122989383;0.059602335;0.624608355;0.578208018;-1.496148143;0.05825121;-0.160710206;-0.526436163;-1.154870732;-0.954385493;-0.462540307;-0.299522205;-0.539097844;-0.614948254;0.343327503;-0.307796106;-0.215741793;0.54472666;-0.110556994;-1.016098258;;;;;-1.057616069;0.157177858;-0.377216418;-0.826532689;-0.291272135;-0.405107425;0.943287538
1376;female;49.60833333;1;16;secondary;;-1.324283596;-0.122989383;-2.031209761;1.554043422;0.390819227;0.71673723;-1.028607072;-0.913900554;-0.526436163;-1.017585362;-1.068544525;-0.545011617;1.114011633;1.072995461;1.141618731;-0.400232613;-1.13420757;-0.723674424;0.54472666;-0.110556994;-1.410630951;;;;;2.788347654;1.350122835;0.098377256;-0.496419784;-0.858466731;-0.111557989;-1.628790172
1377;female;24.72222222;1;17;BA_BSc;BA_BSc;-0.767807632;-0.638007423;0.895927176;1.554043422;0.043313624;0.352024231;;0.875876848;0.010915115;-1.460780741;-1.247232277;-0.723480307;-0.390344939;-0.86886523;-0.659518195;-0.152379241;-0.583266594;-0.469708108;0.54472666;0.278882513;-1.016098258;;;;;0.43538902;0.216737551;-0.400557585;-0.16630688;-0.275461877;-0.405107425;0.208408193
1379;female;27.28055556;1;18;BA_BSc;BA_BSc;0.345144296;-0.122989383;0.059602335;0.624608355;0.390819227;0.469484079;-0.518449102;-0.213767236;-0.526436163;;;;0.727040233;0.664926355;0.822772231;0.591180874;0.243144869;0.038224522;0.965651811;1.057761534;-1.016098258;;;;;0.522845329;-1.536957182;-1.613787813;-1.156645593;0.280699936;0.035216733;0.943287538
1380;female;33.875;0;16;secondary;BA_BSc;0.345144296;-1.668043503;-1.194884926;0.624608355;0.650695103;0.242237336;;-0.620706464;-0.503073059;0.164195621;0.213277042;-0.658673411;0.257279641;0.126803943;0.484182547;-0.152379241;-0.583266594;-0.215741793;-0.297123633;-0.889436021;-0.22703288;;;;;-0.307477395;-0.57038608;-0.859817083;0.493918929;-0.464777294;-0.111557989;0.943287538
1382;male;44.42222222;1;20;MA_MSc;;0.345144296;0.907046698;0.895927176;-0.30482671;1.312569755;0.834197078;-0.518449102;1.612152638;0.548266405;0.24967436;0.458961061;-0.001695806;-1.533528203;-0.691968896;-1.030944221;-0.152379241;-0.032325618;-0.469708108;1.386576953;1.057761534;0.562032503;;;;;1.502474936;0.276384886;0.399909864;-0.16630688;-0.306967734;0.035216733;-0.159031483
1383;female;78.59444444;1;11;primary;;0.345144296;-0.638007423;0.477764756;0.30427962;-0.498275294;-0.313117611;-1.505493869;-0.856308519;-0.526436163;;;;0.777275087;2.359979023;1.833132596;0.591180874;0.243144869;0.800123468;0.54472666;1.057761534;0.562032503;;;;;;;2.778759909;-0.16630688;3.284699902;-0.405107425;0.575847862
1918;female;28.33055556;1;16;BA_BSc;BA_BSc;2.014572188;2.452100818;-0.776722506;1.554043422;-0.192229786;-0.085870868;;1.412462195;1.622968973;-0.638609078;-0.900285658;-0.148821116;;;;;;;;;;;;;;0.729607867;0.11489176;;;-0.256173617;-0.111557989;-0.159031483
2001;female;20.72222222;1;14;secondary;BA_BSc;0.345144296;1.937082778;0.477764756;1.554043422;2.330857381;1.863162967;0.158064726;1.103403494;-0.526436163;-0.839937478;0.03477552;-0.615608119;;;;;;;;;;;;;;-0.337429129;-0.665817887;-0.570349492;-0.496419784;-0.571283142;0.475540892;0.208408193
2002;female;27.68888889;0;17;secondary;BA_BSc;-0.211331668;-1.668043503;-0.776722506;1.554043422;-0.327457063;-0.422904505;-0.751347306;-1.174062475;-0.526436163;-1.102667959;-0.667637744;-0.618309255;;;;;;;;;;;;;;-0.148929452;1.303404532;1.148312125;-1.156645593;1.892530889;-0.405107425;-0.893910827
2004;male;21.56388889;1;15;secondary;BA_BSc;-0.211331668;-0.122989383;-0.358560085;1.554043422;2.330857381;0.104771079;0.213516679;-0.811197235;-0.526436163;-0.242862762;-0.686260751;-0.743570648;;;;;;;;;;;;;;-0.923300365;-0.763040809;-0.766498819;-0.16630688;-1.113125269;-0.551882148;-0.526471152
2006;male;21.31944444;1;15;secondary;BA_BSc;-0.211331668;-0.638007423;0.477764756;-0.540710961;-0.266460522;0.352024231;0.779126602;-0.238467834;-0.526436163;-1.004248566;-0.619776616;-1.134817559;;;;;;;;;;;;;;-0.225937645;-0.222853019;0.181393851;2.474596356;-1.246423197;-0.69865687;0.575847862
2007;male;22.06944444;1;15;secondary;BA_BSc;0.90162026;-0.122989383;0.895927176;-0.30482671;-0.167340251;0.379703593;1.555453946;-1.294806196;-0.526436163;-1.156279238;-0.886644305;0.29085259;;;;;;;;;;;;;;0.46321427;-0.475724872;-1.121581539;-0.826532689;0.689231395;-0.258332712;0.575847862
