sentence,"A hal kék, de nem pöttyös.","A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",A kisfiú palacsintát süt a bohócnak.,A kecskét a kakas kergeti.,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,"A pöttyös labda nagyobb, mint a csíkos kancsó",A sárga táska a zöld széken van,A zöld csésze a kockás vödör fölött van.,"A fiú, aki megpuszilja a lányt, az barna hajú.","A szív, ami a négyzetben van, az pöttyös.","A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.","A kislány, aki a busz elejénél áll, piros szoknyában van.","A sárkány, aki a szekrény mögé bújt, csokit eszik.","A könyv azon a tányéron van, ami kék.","A lány azt a macskát kergeti, ami kövér.","A felhő, ami előtt a madár van, az lila.","A róka, amit a malac kerget, az kicsi.","A bohóc alszik, de az elefánt nem.",A malac locsolja meg a fát.,A szarvas a tévét szereli meg.,A szoba egy rettenetes disznóól.,A hegedűtanár egy sárkány.,Pisti egy igazi éjszakai bagoly.,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,A kislánynak van legalább 3 kutyája.,A legtöbb malac kapott kukoricát,Néhány alma kigurult a kosárból.,A festő rajzolt egy házat.,A fiú már elkészült a homokvárral.,A virágot már kiszínezte a bohóc.,A malac is felmászott a fára.,A fiú a békát is megfogta.,Piros lufit minden gyerek kapott.,Kalapja a libának is van.,"De ügyes vagy, hogy eltörted a poharat.","Látom, lustálkodtál egész nap, meg is telt a kosár."
ID,gramm_0,gramm_1,gramm_2,gramm_3,gramm_4,gramm_5,gramm_6,gramm_7,gramm_8,gramm_9,gramm_10,gramm_11,gramm_12,gramm_13,gramm_14,gramm_15,gramm_16,gramm_17,pragm_0,pragm_1,pragm_2,pragm_3,pragm_4,pragm_5,pragm_6,pragm_7,pragm_8,pragm_9,pragm_10,pragm_11,pragm_12,pragm_13,pragm_14,pragm_15,pragm_16,pragm_17
2316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
2317,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
2318,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
2320,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0
2321,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1
2322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
2323,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2324,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
2325,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1
2326,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2327,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1
2329,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2331,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0
2332,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
2333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2334,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2335,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1
2336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
2337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2338,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1
2339,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
2341,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1
2342,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0
2344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2345,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2347,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
2349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
2351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0
2352,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
2353,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
2354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0
2356,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2357,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1
2358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2359,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
2360,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
2361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0
2362,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1
2363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2364,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
2366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
2367,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0
2368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2369,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
2370,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
2372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2373,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
2374,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
2375,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
2376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2377,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1
2378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2380,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
2381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
3001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1
3002,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3003,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
3004,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0
3006,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
3007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1
3101,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0
3102,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0
3103,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1
3201,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
3203,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
3204,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0
3205,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0
3206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
3207,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
3208,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1
3209,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
3210,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1
3211,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
3212,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
3213,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
3301,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
3302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
3303,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1
3304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1
3305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
3306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3307,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
3309,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
3310,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
3311,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
3312,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0
3313,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
3314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
3316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3317,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
3318,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1
3319,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3321,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
3322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
3323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
3325,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
3326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0
3327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0
3329,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0
3330,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1
3331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
3332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3334,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1
3335,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3336,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
3337,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
3338,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1
3339,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1
3340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
3341,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1
3342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
3343,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
3344,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
3346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3347,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
3348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3349,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
3351,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3353,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
3355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3356,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3357,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1
3359,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1
3360,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
3361,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
3363,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
3364,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
3365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0
3366,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
3367,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3368,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3369,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
337,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
3370,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
3371,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
3372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1
3373,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
3374,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
3375,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
3376,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0
3378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
3379,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0
3381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0
5002,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
5003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0
5005,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0
5006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0
5008,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
5009,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
5012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
5013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
5014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
5015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1
5016,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
5018,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1
5019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
5020,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
